time,x,y,action,interactions,target_obj
2023-07-07 15:38:19.454277,54,159,walking,none,none
2023-07-07 15:38:19.661695,44,166,walking,none,none
2023-07-07 15:38:19.877771,43,174,walking,none,none
2023-07-07 15:38:20.116263,41,175,walking,none,none
2023-07-07 15:38:20.324189,45,186,walking,none,none
2023-07-07 15:38:20.535624,48,186,walking,none,none
2023-07-07 15:38:20.740045,56,194,walking,none,none
2023-07-07 15:38:20.947800,68,201,walking,none,none
2023-07-07 15:38:21.161891,73,212,walking,none,none
2023-07-07 15:38:21.366983,51,270,walking,none,none
2023-07-07 15:38:21.588378,12,330,walking,none,none
2023-07-07 15:38:21.792702,48,303,walking,none,none
2023-07-07 15:38:21.997893,66,304,walking,none,none
2023-07-07 15:38:22.203644,121,281,walking,none,none
2023-07-07 15:38:22.409940,128,288,walking,none,none
2023-07-07 15:38:22.614987,145,291,walking,none,none
2023-07-07 15:38:22.821344,150,299,walking,none,none
2023-07-07 15:38:23.030551,169,308,walking,none,none
2023-07-07 15:38:23.277785,199,314,walking,none,none
2023-07-07 15:38:23.510030,211,321,walking,none,none
2023-07-07 15:38:23.724983,233,316,walking,none,none
2023-07-07 15:38:23.938122,245,310,walking,none,none
2023-07-07 15:38:24.171181,258,314,walking,none,none
2023-07-07 15:38:24.399591,283,298,walking,none,none
2023-07-07 15:38:24.612804,303,300,walking,none,none
2023-07-07 15:38:24.856636,319,289,walking,none,none
2023-07-07 15:38:25.099443,327,277,walking,none,none
2023-07-07 15:38:25.328142,348,286,walking,none,none
2023-07-07 15:38:25.542145,359,287,walking,none,none
2023-07-07 15:38:25.765050,355,294,walking,none,none
2023-07-07 15:38:26.020443,370,294,standing,none,none
2023-07-07 15:38:26.238168,373,287,sitting,none,none
2023-07-07 15:38:26.444716,367,296,standing,none,none
2023-07-07 15:38:26.659711,374,290,standing,none,none
2023-07-07 15:38:26.905298,362,277,standing,none,none
2023-07-07 15:38:27.144336,336,273,standing,none,none
2023-07-07 15:38:27.351127,361,265,walking,none,none
2023-07-07 15:38:27.568536,355,267,walking,none,none
2023-07-07 15:38:27.795879,344,271,walking,none,none
2023-07-07 15:38:28.010603,359,283,walking,none,none
2023-07-07 15:38:28.260039,361,293,walking,none,none
2023-07-07 15:38:28.469085,345,300,standing,none,none
2023-07-07 15:38:28.696324,347,306,sitting,none,none
2023-07-07 15:38:28.914494,346,314,sitting,none,none
2023-07-07 15:38:29.130522,334,308,sitting,none,none
2023-07-07 15:38:29.339001,325,307,sitting,none,none
2023-07-07 15:38:29.551612,305,291,sitting,none,none
2023-07-07 15:38:29.778309,301,294,sitting,none,none
2023-07-07 15:38:30.014291,299,284,sitting,working,computer
2023-07-07 15:38:30.242097,300,288,sitting,none,none
2023-07-07 15:38:30.485355,309,299,sitting,none,none
2023-07-07 15:38:30.694780,317,294,sitting,reading,book
2023-07-07 15:38:30.910870,314,297,sitting,none,none
2023-07-07 15:38:31.125042,315,294,sitting,reading,book
2023-07-07 15:38:31.338481,312,297,sitting,none,none
2023-07-07 15:38:31.550659,312,299,sitting,none,none
2023-07-07 15:38:31.758663,312,298,sitting,none,none
2023-07-07 15:38:31.964631,313,305,sitting,none,none
2023-07-07 15:38:32.184110,317,296,sitting,none,none
2023-07-07 15:38:32.400907,318,309,sitting,none,none
2023-07-07 15:38:32.612191,322,308,sitting,reading,book
2023-07-07 15:38:32.845533,317,309,sitting,none,none
2023-07-07 15:38:33.063834,315,305,sitting,none,none
2023-07-07 15:38:33.277269,314,293,sitting,reading,book
2023-07-07 15:38:33.508385,314,296,sitting,none,none
2023-07-07 15:38:33.722449,315,296,sitting,none,none
2023-07-07 15:38:33.951221,316,300,sitting,reading,book
2023-07-07 15:38:34.166580,316,304,sitting,none,none
2023-07-07 15:38:34.390962,316,298,sitting,reading,book
2023-07-07 15:38:34.605541,316,296,sitting,none,none
2023-07-07 15:38:34.842466,314,302,sitting,none,none
2023-07-07 15:38:35.048495,316,298,sitting,"reading,working","book,computer"
2023-07-07 15:38:35.260623,313,303,sitting,none,none
2023-07-07 15:38:35.468229,315,296,sitting,none,none
2023-07-07 15:38:35.686408,316,295,sitting,reading,book
2023-07-07 15:38:35.899030,316,305,sitting,none,none
2023-07-07 15:38:36.117216,318,298,sitting,reading,book
2023-07-07 15:38:36.342854,317,306,sitting,none,none
2023-07-07 15:38:36.550108,318,303,sitting,none,none
2023-07-07 15:38:36.761133,320,303,sitting,reading,book
2023-07-07 15:38:36.967372,318,299,sitting,none,none
2023-07-07 15:38:37.176708,318,296,sitting,reading,book
2023-07-07 15:38:37.381264,316,301,sitting,none,none
2023-07-07 15:38:37.586218,316,297,sitting,reading,book
2023-07-07 15:38:37.792734,314,304,sitting,none,none
2023-07-07 15:38:37.998555,318,299,sitting,none,none
2023-07-07 15:38:38.210671,316,303,sitting,none,none
2023-07-07 15:38:38.424377,317,298,sitting,none,none
2023-07-07 15:38:38.653007,318,296,sitting,reading,book
2023-07-07 15:38:38.880517,316,303,sitting,none,none
2023-07-07 15:38:39.097711,319,304,sitting,reading,book
2023-07-07 15:38:39.308816,316,301,sitting,none,none
2023-07-07 15:38:39.514413,314,303,sitting,none,none
2023-07-07 15:38:39.720641,316,296,sitting,reading,book
2023-07-07 15:38:39.926754,315,303,sitting,none,none
2023-07-07 15:38:40.146799,318,299,sitting,reading,book
2023-07-07 15:38:40.382357,313,299,sitting,none,none
2023-07-07 15:38:40.617534,313,303,sitting,none,none
2023-07-07 15:38:40.836890,316,300,sitting,reading,book
2023-07-07 15:38:41.042597,313,305,sitting,none,none
2023-07-07 15:38:41.267775,315,298,sitting,none,none
2023-07-07 15:38:41.507389,316,292,sitting,reading,book
2023-07-07 15:38:41.738214,315,299,sitting,none,none
2023-07-07 15:38:41.947076,316,303,sitting,none,none
2023-07-07 15:38:42.159681,316,299,sitting,reading,book
2023-07-07 15:38:42.364947,317,306,sitting,none,none
2023-07-07 15:38:42.587167,317,301,sitting,reading,book
2023-07-07 15:38:42.815487,313,300,sitting,none,none
2023-07-07 15:38:43.045556,314,302,sitting,none,none
2023-07-07 15:38:43.291308,318,297,sitting,reading,book
2023-07-07 15:38:43.508381,314,300,sitting,none,none
2023-07-07 15:38:43.724807,314,298,sitting,reading,book
2023-07-07 15:38:43.941593,312,301,sitting,none,none
2023-07-07 15:38:44.161053,311,303,sitting,none,none
2023-07-07 15:38:44.375239,310,295,sitting,none,none
2023-07-07 15:38:44.617766,314,281,sitting,none,none
2023-07-07 15:38:44.851499,314,283,sitting,none,none
2023-07-07 15:38:45.064488,313,277,sitting,none,none
2023-07-07 15:38:45.297007,315,277,sitting,none,none
2023-07-07 15:38:45.532924,314,276,sitting,none,none
2023-07-07 15:38:45.760214,313,272,sitting,none,none
2023-07-07 15:38:45.978860,310,275,sitting,none,none
2023-07-07 15:38:46.189536,312,268,sitting,none,none
2023-07-07 15:38:46.398627,313,274,sitting,none,none
2023-07-07 15:38:46.617566,315,275,sitting,none,none
2023-07-07 15:38:46.837703,316,279,sitting,none,none
2023-07-07 15:38:47.054584,316,280,sitting,none,none
2023-07-07 15:38:47.270480,316,273,sitting,none,none
2023-07-07 15:38:47.499738,316,275,sitting,none,none
2023-07-07 15:38:47.707947,317,278,sitting,none,none
2023-07-07 15:38:47.932011,317,281,sitting,none,none
2023-07-07 15:38:48.139950,316,280,sitting,none,none
2023-07-07 15:38:48.344691,312,278,sitting,none,none
2023-07-07 15:38:48.553359,311,278,sitting,none,none
2023-07-07 15:38:48.772947,311,280,sitting,none,none
2023-07-07 15:38:49.020357,310,278,sitting,none,none
2023-07-07 15:38:49.230774,314,277,sitting,none,none
2023-07-07 15:38:49.460284,316,277,sitting,none,none
2023-07-07 15:38:49.674251,314,272,sitting,none,none
2023-07-07 15:38:49.893333,313,279,sitting,none,none
2023-07-07 15:38:50.109432,312,273,sitting,none,none
2023-07-07 15:38:50.323986,310,280,sitting,none,none
2023-07-07 15:38:50.529375,314,275,sitting,none,none
2023-07-07 15:38:50.733893,311,275,sitting,none,none
2023-07-07 15:38:50.938424,313,279,sitting,none,none
2023-07-07 15:38:51.158824,312,277,sitting,none,none
2023-07-07 15:38:51.391457,311,282,sitting,none,none
2023-07-07 15:38:51.603815,314,280,sitting,none,none
2023-07-07 15:38:51.816670,316,278,sitting,none,none
2023-07-07 15:38:52.039341,311,283,sitting,none,none
2023-07-07 15:38:52.261360,314,275,sitting,none,none
2023-07-07 15:38:52.473810,313,273,sitting,none,none
2023-07-07 15:38:52.705800,314,279,sitting,none,none
2023-07-07 15:38:52.948666,315,273,sitting,none,none
2023-07-07 15:38:53.162393,312,281,sitting,none,none
2023-07-07 15:38:53.377526,316,274,sitting,none,none
2023-07-07 15:38:53.582892,311,277,sitting,none,none
2023-07-07 15:38:53.788616,311,279,sitting,none,none
2023-07-07 15:38:54.001139,313,272,sitting,none,none
2023-07-07 15:38:54.209662,311,280,sitting,none,none
2023-07-07 15:38:54.439328,313,276,sitting,none,none
2023-07-07 15:38:54.651892,313,280,sitting,none,none
2023-07-07 15:38:54.878325,314,278,sitting,none,none
2023-07-07 15:38:55.093163,314,277,sitting,none,none
2023-07-07 15:38:55.346648,315,281,sitting,none,none
2023-07-07 15:38:55.570284,319,278,sitting,none,none
2023-07-07 15:38:55.782969,318,279,sitting,none,none
2023-07-07 15:38:55.989603,316,275,sitting,none,none
2023-07-07 15:38:56.206232,312,273,sitting,none,none
2023-07-07 15:38:56.430861,308,267,sitting,none,none
2023-07-07 15:38:56.641433,306,273,sitting,none,none
2023-07-07 15:38:56.860071,304,271,sitting,none,none
2023-07-07 15:38:57.070563,298,281,sitting,none,none
2023-07-07 15:38:57.280594,301,272,sitting,none,none
2023-07-07 15:38:57.506602,297,274,sitting,none,none
2023-07-07 15:38:57.718177,300,280,sitting,none,none
2023-07-07 15:38:57.933566,297,275,sitting,none,none
2023-07-07 15:38:58.141576,296,287,sitting,none,none
2023-07-07 15:38:58.359461,308,293,sitting,none,none
2023-07-07 15:38:58.570869,313,303,sitting,none,none
2023-07-07 15:38:58.803175,328,315,sitting,working,computer
2023-07-07 15:38:59.010455,336,306,sitting,none,none
2023-07-07 15:38:59.227822,339,305,sitting,none,none
2023-07-07 15:38:59.440689,348,290,sitting,none,none
