time,x,y,action,interactions,target_obj
2023-07-06 22:22:37.472126,308,10,walking,none,none
2023-07-06 22:22:37.756744,301,10,walking,none,none
2023-07-06 22:22:38.408013,227,22,standing,none,none
2023-07-06 22:22:38.720921,178,65,walking,none,none
2023-07-06 22:22:39.041869,162,83,walking,none,none
2023-07-06 22:22:39.329095,141,108,walking,none,none
2023-07-06 22:22:39.612596,117,160,walking,none,none
2023-07-06 22:22:39.936393,113,188,walking,none,none
2023-07-06 22:22:40.255382,111,241,standing,none,none
2023-07-06 22:22:40.525193,121,285,sitting,none,none
2023-07-06 22:22:40.758406,145,338,walking,none,none
2023-07-06 22:22:41.007122,75,321,walking,none,none
2023-07-06 22:22:41.339120,94,343,sitting,none,none
2023-07-06 22:22:41.614194,167,404,walking,none,none
2023-07-06 22:22:41.895283,176,410,walking,none,none
2023-07-06 22:22:42.189960,224,474,walking,none,none
2023-07-06 22:22:43.897007,164,448,sitting,none,none
2023-07-06 22:22:44.481539,200,470,sitting,none,none
2023-07-06 22:22:44.796667,198,468,sitting,none,none
2023-07-06 22:22:45.082817,171,426,sitting,none,none
2023-07-06 22:22:46.238905,152,416,walking,none,none
2023-07-06 22:22:46.543561,145,405,walking,none,none
2023-07-06 22:22:46.797165,194,481,walking,none,none
2023-07-06 22:22:47.145628,141,429,walking,none,none
2023-07-06 22:22:47.484985,94,379,sitting,none,none
2023-07-06 22:22:47.780353,47,363,sitting,none,none
2023-07-06 22:22:48.070087,15,349,standing,none,none
2023-07-06 22:22:53.568275,9,233,walking,none,none
2023-07-06 22:22:53.786189,29,246,walking,none,none
2023-07-06 22:22:54.011822,45,269,walking,none,none
2023-07-06 22:22:54.244742,52,271,walking,none,none
2023-07-06 22:22:54.468873,83,283,sitting,none,none
2023-07-06 22:22:54.716834,130,294,standing,none,none
2023-07-06 22:22:54.940595,143,298,walking,none,none
2023-07-06 22:22:55.167208,164,305,walking,none,none
2023-07-06 22:22:55.399664,247,287,walking,none,none
2023-07-06 22:22:55.624832,252,296,walking,none,none
2023-07-06 22:22:55.843830,263,294,walking,none,none
2023-07-06 22:22:56.065980,299,273,walking,none,none
2023-07-06 22:22:56.284774,348,251,walking,none,none
2023-07-06 22:22:56.515720,361,265,walking,none,none
2023-07-06 22:22:56.750451,401,285,walking,none,none
2023-07-06 22:22:56.969490,431,280,walking,none,none
2023-07-06 22:22:57.186180,419,258,walking,none,none
2023-07-06 22:22:57.402291,453,268,walking,none,none
2023-07-06 22:22:57.621072,461,261,walking,none,none
2023-07-06 22:22:57.858824,499,255,walking,none,none
2023-07-06 22:22:58.109910,496,254,sitting,none,none
2023-07-06 22:22:58.342589,494,242,sitting,none,none
2023-07-06 22:22:58.581897,510,243,sitting,none,none
2023-07-06 22:22:58.803427,495,249,standing,none,none
2023-07-06 22:22:59.025155,491,205,standing,none,none
2023-07-06 22:22:59.269427,459,193,walking,none,none
2023-07-06 22:22:59.515742,445,195,walking,none,none
2023-07-06 22:22:59.756788,477,199,sitting,none,none
2023-07-06 22:23:00.011193,473,212,sitting,none,none
2023-07-06 22:23:00.262664,469,223,sitting,none,none
2023-07-06 22:23:00.476208,486,211,sitting,none,none
2023-07-06 22:23:00.698174,478,218,sitting,none,none
2023-07-06 22:23:00.943358,470,225,sitting,none,none
2023-07-06 22:23:01.174888,473,222,sitting,none,none
2023-07-06 22:23:01.401633,473,220,sitting,reading,book
2023-07-06 22:23:01.639376,466,238,sitting,reading,book
2023-07-06 22:23:01.870431,469,234,sitting,reading,book
2023-07-06 22:23:02.101183,476,223,sitting,reading,book
2023-07-06 22:23:02.325631,485,206,sitting,none,none
2023-07-06 22:23:02.596900,475,224,sitting,reading,book
2023-07-06 22:23:02.951943,474,231,sitting,reading,book
2023-07-06 22:23:03.186262,478,229,sitting,reading,book
2023-07-06 22:23:03.415131,468,251,sitting,reading,book
2023-07-06 22:23:03.638935,467,239,sitting,reading,book
2023-07-06 22:23:03.883418,467,227,sitting,reading,book
2023-07-06 22:23:04.111680,464,238,sitting,reading,book
2023-07-06 22:23:04.356291,468,231,sitting,none,none
2023-07-06 22:23:04.594933,473,227,sitting,reading,book
2023-07-06 22:23:04.833724,472,243,sitting,reading,book
2023-07-06 22:23:05.083010,473,239,sitting,reading,book
2023-07-06 22:23:05.342211,470,230,sitting,reading,book
2023-07-06 22:23:05.582893,470,238,sitting,reading,book
2023-07-06 22:23:05.817785,471,239,sitting,reading,book
2023-07-06 22:23:06.068847,461,264,sitting,reading,book
2023-07-06 22:23:06.297480,465,250,sitting,reading,book
2023-07-06 22:23:06.522652,467,243,sitting,reading,book
2023-07-06 22:23:06.750547,458,265,sitting,reading,book
2023-07-06 22:23:06.985521,468,247,sitting,reading,book
2023-07-06 22:23:07.237900,468,231,sitting,none,none
2023-07-06 22:23:07.480220,453,251,sitting,reading,book
2023-07-06 22:23:07.713585,449,262,sitting,reading,book
2023-07-06 22:23:08.176453,470,233,sitting,none,none
2023-07-06 22:23:08.397828,470,233,sitting,none,none
2023-07-06 22:23:08.873644,481,221,sitting,none,none
2023-07-06 22:23:09.120963,470,231,sitting,reading,book
2023-07-06 22:23:09.349774,464,236,sitting,reading,book
2023-07-06 22:23:09.661550,472,210,sitting,none,none
2023-07-06 22:23:09.884579,461,199,sitting,reading,book
2023-07-06 22:23:10.103447,453,192,sitting,reading,book
2023-07-06 22:23:10.351529,494,190,sitting,none,none
2023-07-06 22:23:10.577600,507,201,sitting,none,none
2023-07-06 22:23:10.808893,509,240,sitting,none,none
2023-07-06 22:23:11.038402,514,243,sitting,none,none
2023-07-06 22:23:11.264832,505,247,sitting,none,none
2023-07-06 22:23:11.511206,497,251,sitting,none,none
2023-07-06 22:23:11.731073,489,267,sitting,none,none
2023-07-06 22:23:11.945104,486,260,sitting,none,none
2023-07-06 22:23:12.199734,479,247,sitting,none,none
2023-07-06 22:23:12.419254,436,264,sitting,none,none
2023-07-06 22:23:12.641023,433,264,walking,none,none
2023-07-06 22:23:12.862601,432,263,walking,none,none
2023-07-06 22:23:13.073605,392,247,standing,none,none
2023-07-06 22:23:13.313224,397,243,walking,none,none
2023-07-06 22:23:13.538051,420,246,walking,none,none
2023-07-06 22:23:13.754392,370,236,walking,none,none
2023-07-06 22:23:13.999359,376,229,walking,none,none
2023-07-06 22:23:14.214916,388,212,walking,none,none
2023-07-06 22:23:14.432454,391,212,walking,none,none
2023-07-06 22:23:14.679605,417,182,sitting,none,none
2023-07-06 22:23:14.899188,419,183,sitting,none,none
2023-07-06 22:23:15.119383,406,197,sitting,none,none
2023-07-06 22:23:15.357976,414,181,sitting,none,none
2023-07-06 22:23:15.584206,407,194,sitting,none,none
2023-07-06 22:23:15.827143,387,222,sitting,reading,book
2023-07-06 22:23:16.041903,415,215,sitting,reading,book
2023-07-06 22:23:16.301771,406,220,sitting,reading,book
2023-07-06 22:23:16.602413,387,223,sitting,reading,book
2023-07-06 22:23:16.845207,455,236,sitting,reading,book
2023-07-06 22:23:17.100625,429,230,sitting,reading,book
2023-07-06 22:23:17.340006,413,220,sitting,reading,book
2023-07-06 22:23:17.561521,412,223,sitting,reading,book
2023-07-06 22:23:17.804133,418,222,sitting,reading,book
2023-07-06 22:23:18.108744,420,225,sitting,reading,book
2023-07-06 22:23:18.333406,419,230,sitting,reading,book
2023-07-06 22:23:18.559778,393,226,sitting,reading,book
2023-07-06 22:23:18.798624,420,227,sitting,reading,book
