time,x,y,action,interactions,target_obj
2023-07-07 16:46:49.473230,1,247,walking,none,none
2023-07-07 16:46:49.678407,15,252,walking,none,none
2023-07-07 16:46:49.883114,49,259,walking,none,none
2023-07-07 16:46:50.088602,73,274,walking,none,none
2023-07-07 16:46:50.295166,99,283,walking,none,none
2023-07-07 16:46:50.499625,127,289,walking,none,none
2023-07-07 16:46:50.704247,155,285,walking,none,none
2023-07-07 16:46:50.911112,196,283,walking,none,none
2023-07-07 16:46:51.115943,204,291,walking,none,none
2023-07-07 16:46:51.321521,247,294,walking,none,none
2023-07-07 16:46:51.527702,277,298,walking,none,none
2023-07-07 16:46:51.732026,304,295,walking,none,none
2023-07-07 16:46:51.937126,326,293,walking,none,none
2023-07-07 16:46:52.143250,345,288,walking,none,none
2023-07-07 16:46:52.347614,397,297,walking,none,none
2023-07-07 16:46:52.551926,420,295,walking,none,none
2023-07-07 16:46:52.757897,435,285,walking,none,none
2023-07-07 16:46:52.963817,449,289,walking,none,none
2023-07-07 16:46:53.169036,478,283,walking,none,none
2023-07-07 16:46:53.376110,494,276,sitting,none,none
2023-07-07 16:46:53.581174,495,265,sitting,none,none
2023-07-07 16:46:53.786849,517,262,sitting,none,none
2023-07-07 16:46:53.992262,513,258,standing,none,none
2023-07-07 16:46:54.197921,520,231,sitting,none,none
2023-07-07 16:46:54.404217,503,234,sitting,none,none
2023-07-07 16:46:54.610168,476,197,walking,none,none
2023-07-07 16:46:54.816178,461,199,sitting,none,none
2023-07-07 16:46:55.022360,458,196,walking,none,none
2023-07-07 16:46:55.232320,499,225,sitting,reading,book
2023-07-07 16:46:55.439986,503,231,sitting,reading,book
2023-07-07 16:46:55.646519,490,224,sitting,reading,book
2023-07-07 16:46:55.851638,507,245,standing,reading,book
2023-07-07 16:46:56.059741,493,233,sitting,reading,book
2023-07-07 16:46:56.265219,520,242,sitting,reading,book
2023-07-07 16:46:56.471499,532,236,standing,reading,book
2023-07-07 16:46:56.678305,550,250,standing,reading,book
2023-07-07 16:46:56.885010,531,235,standing,reading,book
2023-07-07 16:46:57.092208,505,225,sitting,reading,book
2023-07-07 16:46:57.298191,511,241,sitting,reading,book
2023-07-07 16:46:57.505322,499,227,sitting,reading,book
2023-07-07 16:46:57.711976,501,225,sitting,reading,book
2023-07-07 16:46:57.918611,513,238,sitting,reading,book
2023-07-07 16:46:58.124626,500,226,sitting,reading,book
2023-07-07 16:46:58.329868,511,238,sitting,reading,book
2023-07-07 16:46:58.535536,497,226,sitting,reading,book
2023-07-07 16:46:58.742920,518,238,sitting,reading,book
2023-07-07 16:46:58.948177,527,234,sitting,reading,book
2023-07-07 16:46:59.153581,507,222,sitting,reading,book
2023-07-07 16:46:59.359140,519,237,sitting,reading,book
2023-07-07 16:46:59.567236,503,225,sitting,reading,book
2023-07-07 16:46:59.774487,517,239,sitting,reading,book
2023-07-07 16:46:59.980417,518,239,sitting,reading,book
2023-07-07 16:47:00.186460,476,200,sitting,none,none
2023-07-07 16:47:00.394096,517,238,sitting,reading,book
2023-07-07 16:47:00.598855,507,225,sitting,reading,book
