time,x,y,action,interactions,target_obj
51:10.2,119,293,walking,none,none
51:10.5,156,305,walking,none,none
51:10.8,176,293,walking,none,none
51:11.0,226,294,walking,none,none
51:11.3,254,297,walking,none,none
51:11.6,281,299,walking,none,none
51:11.8,307,284,walking,none,none
51:12.1,331,272,walking,none,none
51:12.3,368,240,walking,none,none
51:12.7,377,213,sitting,none,none
51:12.9,376,217,walking,none,none
51:13.2,370,224,walking,none,none
51:13.4,386,201,sitting,none,none
51:13.6,389,196,sitting,none,none
51:13.9,387,207,sitting,none,none
51:14.1,399,207,sitting,none,none
51:14.4,401,212,sitting,none,none
51:14.6,409,213,sitting,none,none
51:14.9,401,216,sitting,none,none
51:15.2,394,214,sitting,none,none
51:15.4,399,199,sitting,none,none
51:15.6,390,211,sitting,none,none
51:15.9,387,216,sitting,none,none
51:16.1,389,213,sitting,none,none
51:16.4,397,208,sitting,none,none
51:16.7,397,212,sitting,none,none
51:16.9,422,182,sitting,none,none
51:17.2,415,186,sitting,none,none
51:17.4,410,190,sitting,none,none
51:17.7,403,195,sitting,none,none
51:17.9,395,200,sitting,none,none
51:18.2,416,186,sitting,none,none
51:18.4,396,200,sitting,none,none
51:18.6,388,213,sitting,none,none
51:18.9,401,205,sitting,none,none
51:19.1,395,212,sitting,none,none
51:19.3,393,213,sitting,none,none
51:19.5,399,205,sitting,none,none
51:19.8,395,209,sitting,none,none
51:20.1,391,211,sitting,none,none
51:20.3,402,195,sitting,none,none
51:20.5,400,197,sitting,none,none
51:20.8,401,196,sitting,none,none
51:21.1,391,209,sitting,none,none
51:21.3,391,209,sitting,none,none
51:21.5,394,204,sitting,none,none
51:21.8,393,205,sitting,none,none
51:22.1,386,209,sitting,none,none
51:22.3,384,210,sitting,none,none
51:22.5,395,208,sitting,none,none
51:22.7,395,208,sitting,none,none
51:23.0,389,213,sitting,none,none
51:23.3,388,217,sitting,none,none
51:23.5,396,216,sitting,none,none
51:23.8,400,219,sitting,none,none
51:24.0,401,214,sitting,none,none
51:24.2,405,212,sitting,none,none
51:24.5,408,210,sitting,none,none
51:24.7,407,211,sitting,none,none
51:25.0,390,218,sitting,none,none
51:25.2,373,234,sitting,none,none
51:25.5,372,244,sitting,none,none
51:25.8,363,245,sitting,none,none
51:26.0,365,249,sitting,none,none
51:26.3,353,257,walking,none,none
51:26.5,332,265,walking,none,none
51:26.8,315,261,walking,none,none
51:27.1,305,273,walking,none,none
51:27.3,294,285,walking,none,none
51:27.5,288,285,walking,none,none
51:27.8,284,295,walking,none,none
51:28.0,283,305,walking,none,none
51:28.3,286,300,walking,none,none
51:28.5,300,309,walking,working,computer
51:28.8,307,329,walking,working,computer
51:29.0,308,333,sitting,none,none
51:29.3,317,317,sitting,working,computer
51:29.5,317,309,sitting,"working,drinking","computer,bottle"
51:29.8,313,302,sitting,working,computer
51:30.0,317,298,sitting,working,computer
51:30.3,314,294,sitting,working,computer
51:30.6,318,299,sitting,working,computer
51:30.9,322,307,sitting,working,computer
51:31.1,321,303,sitting,working,computer
51:31.4,314,300,sitting,"working,drinking","computer,bottle"
51:31.6,316,304,sitting,"working,drinking","computer,bottle"
51:31.9,319,305,sitting,working,computer
51:32.2,314,306,sitting,"working,drinking","computer,bottle"
51:32.4,317,302,sitting,"working,drinking","computer,bottle"
51:32.6,318,296,sitting,working,computer
51:33.0,318,310,sitting,"working,drinking","computer,bottle"
51:33.2,319,310,sitting,"working,drinking","computer,bottle"
51:33.5,315,305,sitting,"working,drinking","computer,bottle"
51:33.8,318,311,sitting,"working,drinking","computer,bottle"
51:34.0,322,315,sitting,working,computer
51:34.3,321,307,sitting,working,computer
51:34.6,316,303,sitting,"working,drinking","computer,bottle"
51:34.8,315,299,sitting,working,computer
51:35.1,313,296,sitting,working,computer
51:35.3,312,301,sitting,working,computer
51:35.6,316,310,sitting,working,computer
51:35.9,315,316,sitting,working,computer
51:36.1,314,306,sitting,none,none
51:36.3,317,304,sitting,none,none
51:36.6,300,301,walking,none,none
51:36.9,293,296,walking,none,none
51:37.1,285,280,walking,none,none
51:37.3,285,280,walking,none,none
51:37.6,289,278,walking,none,none
51:37.9,295,279,walking,none,none
51:38.2,312,274,walking,none,none
51:38.5,332,284,walking,none,none
51:38.7,345,288,walking,none,none
51:39.0,359,313,walking,none,none
51:39.2,361,318,walking,none,none
51:39.4,361,295,sitting,none,none
51:39.7,363,288,sitting,none,none
51:39.9,362,276,sitting,none,none
51:40.2,361,283,sitting,none,none
51:40.4,355,288,sitting,none,none
51:40.7,351,286,walking,none,none
51:41.0,357,294,sitting,none,none
51:41.2,361,307,sitting,none,none
51:41.5,374,332,walking,none,none
51:41.8,376,331,sitting,none,none
51:42.0,399,336,walking,none,none
51:42.3,382,316,walking,none,none
51:42.6,397,328,walking,none,none
51:42.8,404,336,walking,none,none
51:43.1,396,332,walking,none,none
51:43.3,402,335,walking,none,none
51:43.6,399,333,walking,none,none
51:43.9,400,334,walking,none,none
51:44.1,403,336,sitting,none,none
51:44.4,418,346,sitting,none,none
51:44.7,405,337,sitting,none,none
51:44.9,397,330,sitting,none,none
51:45.2,399,330,sitting,none,none
51:45.5,397,329,sitting,none,none
51:45.8,398,328,sitting,none,none
51:46.0,402,331,sitting,none,none
51:46.3,398,329,sitting,none,none
51:46.5,390,324,sitting,none,none
51:46.8,402,331,sitting,none,none
51:47.1,404,334,sitting,none,none
51:47.3,409,339,sitting,none,none
51:47.6,410,342,sitting,none,none
51:48.0,401,339,sitting,none,none
51:48.3,413,348,sitting,calling,phone
51:48.5,406,344,sitting,calling,phone
51:48.8,408,347,sitting,calling,phone
51:49.1,405,345,sitting,calling,phone
51:49.4,404,344,walking,calling,phone
51:49.6,406,345,walking,none,none
51:49.9,396,338,sitting,none,none
51:50.1,396,339,sitting,none,none
51:50.4,403,343,sitting,none,none
51:50.6,409,348,sitting,none,none
51:50.9,400,341,sitting,none,none
51:51.2,397,339,sitting,none,none
51:51.4,398,340,sitting,none,none
51:51.7,400,341,sitting,none,none
51:51.9,398,340,sitting,none,none
51:52.2,393,337,sitting,calling,phone
51:52.4,393,336,sitting,calling,phone
51:52.6,397,339,walking,none,none
51:53.0,409,348,sitting,none,none
51:53.2,403,342,walking,none,none
51:53.5,399,338,walking,none,none
51:53.7,402,339,walking,none,none
51:54.0,405,341,walking,none,none
51:54.2,405,341,sitting,calling,phone
51:54.5,404,340,sitting,calling,phone
51:54.8,405,343,sitting,calling,phone
51:55.0,391,333,sitting,calling,phone
51:55.3,394,335,sitting,calling,phone
51:55.5,400,339,sitting,calling,phone
51:55.8,402,340,sitting,calling,phone
51:56.0,398,338,sitting,calling,phone
51:56.3,401,336,sitting,calling,phone
51:56.6,405,335,sitting,none,none
51:56.8,386,306,sitting,working,computer
51:57.1,392,310,sitting,working,computer
51:57.3,415,328,sitting,none,none
51:57.5,356,310,walking,none,none
51:57.8,354,298,sitting,none,none
51:58.1,366,313,sitting,none,none
51:58.3,369,318,walking,none,none
51:58.6,362,274,walking,none,none
51:58.9,354,267,sitting,none,none
51:59.1,370,250,sitting,none,none
51:59.4,373,263,walking,none,none
51:59.6,380,265,walking,none,none
51:59.8,384,251,sitting,none,none
52:00.1,380,268,walking,none,none
52:00.4,377,273,walking,none,none
52:00.7,351,273,sitting,none,none
52:00.9,329,281,walking,none,none
52:01.2,323,290,standing,none,none
52:01.4,296,311,walking,none,none
52:01.7,267,304,walking,none,none
52:02.0,212,282,walking,none,none
52:02.3,192,281,walking,none,none
52:02.6,171,275,walking,none,none
52:02.8,157,268,walking,none,none
52:03.1,157,256,walking,none,none
52:03.3,162,245,walking,none,none
52:03.6,166,239,walking,none,none
52:03.8,168,238,walking,none,none
52:04.0,171,231,sitting,none,none
52:04.3,178,221,walking,none,none
52:04.6,173,217,walking,none,none
52:04.8,170,205,sitting,none,none
52:05.1,169,198,sitting,none,none
52:05.4,161,203,walking,none,none
52:05.7,159,195,walking,eating,food
52:05.9,158,194,sitting,eating,food
52:06.2,158,194,sitting,none,none
52:06.4,156,202,sitting,eating,food
52:06.8,154,206,sitting,eating,food
52:07.1,151,211,sitting,eating,food
52:07.4,151,209,sitting,eating,food
52:07.6,152,209,sitting,eating,food
52:07.8,154,210,sitting,eating,food
52:08.1,151,210,sitting,eating,food
52:08.4,152,207,sitting,eating,food
52:08.7,155,201,sitting,eating,food
52:09.0,152,206,standing,eating,food
52:09.3,152,209,sitting,eating,food
52:09.5,152,207,sitting,eating,food
52:09.7,150,208,sitting,eating,food
52:10.0,154,207,sitting,eating,food
52:10.3,152,212,sitting,eating,food
52:10.5,153,210,sitting,eating,food
52:10.8,154,208,sitting,eating,food
52:11.1,155,204,sitting,eating,food
52:11.4,154,204,sitting,eating,food
52:11.7,151,213,sitting,eating,food
52:11.9,150,215,sitting,eating,food
52:12.2,150,215,sitting,eating,food
52:12.5,148,216,sitting,eating,food
52:12.8,150,210,sitting,eating,food
52:13.0,155,203,sitting,eating,food
52:13.3,155,206,sitting,eating,food
52:13.5,153,210,sitting,eating,food
52:13.7,153,213,sitting,eating,food
52:14.0,159,208,sitting,none,none
52:14.2,158,210,sitting,none,none
52:14.5,156,212,walking,none,none
52:14.8,160,209,sitting,none,none
52:15.1,162,202,sitting,reading,book
52:15.3,159,208,sitting,reading,book
52:15.6,152,213,sitting,drinking,bottle
52:15.8,152,209,sitting,drinking,bottle
52:16.1,149,212,standing,drinking,bottle
52:16.3,150,220,walking,drinking,bottle
52:16.7,153,213,walking,drinking,bottle
52:16.9,154,210,walking,drinking,bottle
52:17.2,148,214,sitting,drinking,bottle
52:17.5,152,206,sitting,drinking,bottle
52:17.7,154,207,sitting,drinking,bottle
52:18.0,150,216,sitting,drinking,bottle
52:18.3,152,215,sitting,drinking,bottle
52:18.5,151,213,sitting,drinking,bottle
52:18.8,151,208,sitting,drinking,bottle
52:19.0,150,216,sitting,drinking,bottle
52:19.3,152,214,sitting,drinking,bottle
52:19.5,152,210,sitting,drinking,bottle
52:19.8,157,201,sitting,drinking,bottle
52:20.0,153,208,sitting,drinking,bottle
52:20.3,153,211,sitting,drinking,bottle
52:20.6,155,212,sitting,drinking,bottle
52:20.8,153,221,sitting,drinking,bottle
52:21.1,152,216,sitting,drinking,bottle
52:21.3,155,212,sitting,drinking,bottle
52:21.6,153,213,sitting,drinking,bottle
52:21.8,155,211,sitting,drinking,bottle
52:22.1,158,205,sitting,none,none
52:22.4,160,201,sitting,none,none
52:22.6,158,204,sitting,none,none
52:22.9,159,206,sitting,none,none
52:23.1,156,208,sitting,none,none
52:23.4,153,207,sitting,none,none
52:23.6,156,202,sitting,none,none
