Id,x,y,Expression,Action,Gesture,Interaction
person1,284,459,Sad,Walking,Down,None
person1,267,470,Sad,Sitting,Down,None
person1,251,476,Sad,Walking,Down,None
person1,234,483,Sad,Walking,Down,None
person1,219,480,Sad,Walking,Down,None
person1,203,468,Sad,Walking,Down,None
person1,194,427,Sad,Walking,Down,None
person1,179,388,Sad,Walking,Down,None
person1,163,319,Sad,Walking,Down,None
person1,150,259,None,Walking,Down,None
person1,143,198,None,Walking,Down,Reading Book
person1,139,161,None,Walking,Down,Reading Book
person1,178,91,Neutral,Walking,Down,Reading Book
person1,181,110,Neutral,Sitting,Down,Reading Book
person1,194,144,Neutral,Sitting,Down,Reading Book
person1,211,170,Neutral,Sitting,Down,Reading Book
person1,223,198,Neutral,Sitting,Down,Reading Book
person1,228,229,Neutral,Sitting,Down,Reading Book
person1,235,283,Neutral,Sitting,Down,Reading Book
person1,239,335,Neutral,Sitting,Down,Reading Book
person1,243,370,Neutral,Sitting,Down,Reading Book
person1,241,364,Neutral,Sitting,Down,Reading Book
person1,244,361,Neutral,Sitting,Down,Reading Book
person1,242,362,Neutral,Sitting,Down,Reading Book
person1,242,366,Neutral,Sitting,Down,Reading Book
person1,247,375,Neutral,Sitting,Down,Reading Book
person1,259,381,Neutral,Sitting,Down,Reading Book
person1,275,376,Neutral,Walking,Down,Reading Book
person1,285,367,Neutral,Walking,Down,Reading Book
person1,66,367,None,Walking,Down,Reading Book
person1,307,387,Neutral,Walking,Down,Reading Book
person1,312,407,Neutral,Walking,Down,Reading Book
person1,311,434,Neutral,Walking,Down,Reading Book
person1,316,449,Neutral,Walking,Down,Reading Book
person1,323,452,Sad,Walking,Down,Reading Book
person1,335,449,None,Walking,Down,Reading Book
person1,342,447,None,Walking,Down,Reading Book
person1,349,441,None,Walking,Down,Reading Book
person1,357,439,None,Walking,Down,Reading Book
person1,357,438,None,Walking,Down,Reading Book
person1,365,437,None,Walking,Down,Reading Book
person1,361,437,None,Walking,Down,Reading Book
person1,359,437,None,Walking,Down,Reading Book
person1,353,435,None,Walking,Down,Reading Book
person1,349,434,Sad,Walking,Down,Reading Book
person1,340,441,Neutral,Walking,Down,Reading Book
person1,334,447,Neutral,Walking,Down,Reading Book
person1,323,453,Happy,Walking,Down,Reading Book
person1,313,458,Sad,Walking,Down,Reading Book
person1,307,458,Sad,Walking,Down,Reading Book
person1,302,449,Happy,Walking,Down,Reading Book
person1,298,435,Happy,Walking,Down,Reading Book
person1,295,427,Sad,Walking,Down,Reading Book
person1,295,430,Sad,Walking,Down,Reading Book
person1,290,437,Sad,Walking,Down,Reading Book
person1,295,441,Sad,Walking,Down,Reading Book
person1,293,445,Happy,Walking,Down,Reading Book
person1,295,447,Happy,Walking,Down,Reading Book
person1,297,447,Sad,Walking,Down,Reading Book
person1,296,448,None,Walking,Down,Reading Book
person1,295,448,None,Walking,Down,Reading Book
person1,295,448,Sad,Walking,Down,Reading Book
person1,297,448,Sad,Walking,Down,Reading Book
person1,297,448,None,Walking,Down,Reading Book
person1,296,448,Sad,Walking,Down,Reading Book
person1,297,448,None,Sitting,Down,Reading Book
person1,297,448,None,Sitting,Down,Reading Book
person1,296,448,None,Sitting,Down,Reading Book
person1,296,448,Sad,Sitting,Down,Reading Book
person1,293,448,Sad,Sitting,Down,Reading Book
person1,296,448,Sad,Sitting,Down,Reading Book
person1,293,448,Sad,Walking,Down,Reading Book
person1,289,448,Sad,Sitting,Down,Reading Book
person1,292,448,None,Walking,Down,Reading Book
person1,286,449,None,Walking,Down,Reading Book
person1,286,449,None,Walking,Down,Reading Book
person1,287,451,None,Walking,Down,Reading Book
person1,284,453,None,Walking,Down,Reading Book
person1,285,454,None,Sitting,Down,Reading Book
person1,284,456,Sad,Sitting,Down,Reading Book
person1,286,464,Sad,Sitting,Down,Reading Book
