time,x,y,action,interactions,target_obj
58:00.6,440,51,walking,none,none
58:00.8,440,51,walking,none,none
58:01.0,440,51,walking,none,none
58:01.2,408,58,walking,none,none
58:01.4,408,58,walking,none,none
58:01.6,379,66,walking,none,none
58:01.9,379,66,walking,none,none
58:02.1,365,68,walking,none,none
58:02.3,351,70,walking,none,none
58:02.5,351,70,walking,none,none
58:02.7,335,78,walking,none,none
58:02.9,335,78,walking,none,none
58:03.1,335,78,walking,none,none
58:03.3,326,107,walking,none,none
58:03.5,326,107,walking,none,none
58:03.7,312,127,walking,none,none
58:03.9,312,127,walking,none,none
58:04.1,312,127,walking,none,none
58:04.3,302,149,walking,none,none
58:04.6,302,149,walking,none,none
58:04.8,286,187,walking,none,none
58:05.0,286,187,walking,none,none
58:05.2,286,183,walking,none,none
58:05.4,281,197,walking,none,none
58:05.6,279,199,walking,none,none
58:05.8,268,223,walking,none,none
58:06.0,269,229,walking,none,none
58:06.2,266,244,walking,none,none
58:06.4,260,267,walking,none,none
58:06.6,254,281,walking,none,none
58:06.8,250,295,walking,none,none
58:07.0,242,304,walking,none,none
58:07.3,240,309,walking,none,none
58:07.5,220,313,walking,none,none
58:07.7,219,322,walking,none,none
58:07.9,217,340,standing,none,none
58:08.1,204,337,standing,none,none
58:08.3,197,336,walking,none,none
58:08.5,191,334,walking,none,none
58:08.7,185,321,walking,none,none
58:08.9,181,322,walking,none,none
58:09.1,166,310,walking,none,none
58:09.3,164,316,walking,none,none
58:09.5,158,312,walking,none,none
58:09.7,144,319,walking,none,none
58:10.0,135,314,walking,none,none
58:10.2,206,230,walking,none,none
58:10.4,172,245,walking,none,none
58:10.6,155,250,walking,none,none
58:10.8,149,247,walking,none,none
58:11.0,142,243,walking,none,none
58:11.2,129,254,walking,none,none
58:11.4,100,256,walking,none,none
58:11.6,87,263,walking,none,none
58:11.8,95,267,walking,none,none
58:12.0,87,264,walking,none,none
58:12.2,144,300,walking,none,none
58:12.4,101,298,walking,none,none
58:12.7,97,323,walking,none,none
58:12.9,135,345,walking,none,none
58:13.1,134,354,walking,none,none
58:13.3,135,367,walking,none,none
58:13.5,132,379,walking,none,none
58:13.7,157,408,walking,none,none
58:13.9,90,392,walking,none,none
58:14.1,138,459,walking,none,none
58:14.3,34,421,walking,none,none
58:14.5,92,444,walking,none,none
58:14.7,40,435,walking,none,none
58:14.9,94,471,walking,none,none
58:18.3,101,477,walking,none,none
58:18.5,101,477,walking,none,none
58:18.7,102,455,walking,none,none
58:18.9,101,467,walking,none,none
58:19.1,99,479,walking,none,none
58:19.3,101,462,walking,none,none
58:19.5,102,447,walking,none,none
58:19.7,35,454,walking,none,none
58:19.9,87,481,walking,none,none
58:20.1,27,445,walking,none,none
58:20.3,90,442,walking,none,none
58:20.5,37,396,walking,none,none
58:20.7,246,441,walking,none,none
58:21.0,205,395,walking,none,none
58:21.2,128,377,walking,none,none
58:21.4,84,329,walking,none,none
58:21.6,220,408,walking,none,none
58:21.8,206,381,walking,none,none
58:22.0,139,362,walking,none,none
58:22.2,102,318,walking,none,none
58:22.4,129,340,walking,none,none
58:22.6,98,305,walking,none,none
58:22.8,61,270,walking,none,none
58:23.0,70,276,walking,none,none
58:23.2,76,300,walking,none,none
58:23.4,86,288,walking,none,none
58:23.7,191,376,walking,none,none
58:23.9,202,367,walking,none,none
58:24.1,205,369,walking,none,none
58:24.3,118,322,walking,none,none
58:24.5,182,352,walking,none,none
58:24.7,197,368,walking,none,none
58:24.9,130,324,walking,none,none
58:25.1,206,388,walking,none,none
58:25.3,253,410,walking,none,none
58:25.5,153,343,walking,none,none
58:25.7,154,344,walking,none,none
58:25.9,162,348,walking,none,none
58:26.1,160,347,walking,none,none
58:26.4,162,336,walking,none,none
58:26.6,168,343,walking,none,none
58:26.8,169,350,walking,none,none
58:27.0,175,396,walking,none,none
58:27.2,177,376,walking,none,none
58:27.4,184,387,walking,none,none
58:27.6,191,398,walking,none,none
58:27.8,197,386,walking,none,none
58:28.0,195,388,walking,none,none
58:28.2,186,402,walking,none,none
58:28.4,184,396,walking,none,none
58:28.6,178,403,walking,none,none
58:28.9,177,421,walking,none,none
58:29.1,175,439,walking,none,none
58:29.3,187,443,walking,none,none
58:29.5,191,435,walking,none,none
58:29.7,183,453,walking,none,none
58:29.9,188,425,walking,none,none
58:30.1,186,429,walking,none,none
58:30.3,185,455,walking,none,none
58:30.5,189,443,walking,none,none
58:30.7,189,450,walking,none,none
58:30.9,189,428,walking,none,none
58:31.1,177,449,walking,none,none
58:31.3,202,422,walking,none,none
58:31.6,188,436,walking,none,none
58:31.8,173,451,walking,none,none
58:32.0,186,432,walking,none,none
58:32.2,187,422,walking,none,none
58:32.4,175,440,walking,none,none
58:32.6,191,426,walking,none,none
58:32.8,194,424,walking,none,none
58:33.0,191,437,walking,none,none
58:33.2,193,431,walking,none,none
58:33.4,194,448,walking,none,none
58:33.6,193,446,walking,none,none
58:33.8,180,477,walking,none,none
58:34.1,186,437,walking,none,none
58:34.3,194,446,walking,none,none
58:34.5,197,445,walking,none,none
58:34.7,211,422,walking,none,none
58:34.9,201,419,walking,none,none
58:35.1,206,459,walking,none,none
58:35.3,234,444,walking,none,none
58:35.5,230,443,walking,none,none
58:35.7,235,452,walking,none,none
58:35.9,233,447,walking,none,none
58:36.1,230,454,walking,none,none
58:36.3,233,435,walking,none,none
58:36.5,210,437,walking,none,none
58:36.8,227,403,walking,none,none
58:37.0,223,405,walking,none,none
58:37.2,216,407,walking,none,none
58:37.4,238,386,walking,none,none
58:37.6,235,374,walking,none,none
58:37.8,237,374,walking,none,none
58:38.0,218,369,walking,none,none
58:38.2,211,340,walking,none,none
58:38.4,207,337,walking,none,none
58:38.6,195,354,standing,none,none
58:38.8,182,325,walking,none,none
58:39.0,178,313,walking,none,none
58:39.2,182,332,standing,none,none
58:39.5,172,293,walking,none,none
58:39.7,170,297,walking,none,none
58:39.9,159,284,walking,none,none
58:40.1,151,289,walking,none,none
58:40.3,139,281,walking,none,none
58:40.5,132,281,walking,none,none
58:40.7,127,284,walking,none,none
58:40.9,124,272,walking,none,none
58:41.1,116,261,walking,none,none
58:41.3,106,262,standing,none,none
58:41.5,110,244,walking,none,none
58:41.7,107,261,walking,none,none
58:41.9,111,273,walking,none,none
58:42.2,119,269,walking,none,none
58:42.4,122,270,walking,none,none
58:42.6,126,282,walking,none,none
58:42.8,132,305,walking,none,none
58:43.0,130,300,walking,none,none
58:43.2,134,306,walking,none,none
58:43.4,130,328,walking,none,none
58:43.6,132,328,walking,none,none
58:43.8,133,324,walking,none,none
58:44.0,141,341,walking,none,none
58:44.2,143,344,walking,none,none
58:44.4,148,357,walking,none,none
58:44.6,154,364,walking,none,none
58:44.8,156,387,walking,none,none
58:45.1,157,394,walking,none,none
58:45.3,149,388,walking,none,none
58:45.5,157,433,walking,none,none
58:45.7,161,403,walking,none,none
58:45.9,161,411,walking,none,none
58:46.1,158,426,walking,none,none
58:46.3,164,422,walking,none,none
58:46.5,162,421,walking,none,none
58:46.7,159,441,walking,none,none
58:46.9,157,437,walking,none,none
58:47.1,152,450,walking,none,none
58:47.3,152,447,walking,none,none
58:47.5,153,441,walking,none,none
58:47.8,154,438,walking,none,none
58:48.0,145,454,walking,none,none
58:48.4,147,462,standing,none,none
58:48.6,148,473,walking,none,none
58:49.0,154,480,walking,none,none
58:49.2,154,478,walking,none,none
58:51.1,156,471,walking,none,none
58:51.3,154,481,walking,none,none
58:51.5,135,465,walking,none,none
58:51.7,147,467,walking,none,none
58:51.9,153,461,walking,none,none
58:52.1,153,475,walking,none,none
58:52.3,142,478,walking,none,none
58:52.5,166,486,walking,none,none
58:53.8,173,478,walking,none,none
58:54.0,174,486,walking,none,none
58:54.4,163,460,walking,none,none
58:54.6,172,457,walking,none,none
58:54.8,155,446,walking,none,none
58:55.0,156,446,walking,none,none
58:55.2,164,445,walking,none,none
58:55.4,165,446,walking,none,none
58:55.6,153,456,walking,none,none
58:55.9,176,442,walking,none,none
58:56.1,177,433,walking,none,none
58:56.3,153,422,walking,none,none
58:56.5,164,409,walking,none,none
58:56.7,163,405,walking,none,none
58:56.9,153,399,walking,none,none
58:57.1,160,390,walking,none,none
58:57.3,161,390,walking,none,none
58:57.5,165,388,walking,none,none
58:57.7,166,372,walking,none,none
58:57.9,178,377,walking,none,none
58:58.1,171,378,walking,none,none
58:58.3,153,400,walking,none,none
58:58.6,164,395,walking,none,none
58:58.8,162,397,walking,none,none
58:59.0,164,406,walking,none,none
58:59.2,144,390,walking,none,none
58:59.4,158,398,walking,none,none
58:59.6,156,428,walking,none,none
58:59.8,166,425,walking,none,none
59:00.0,153,410,walking,none,none
59:00.2,155,400,walking,none,none
59:00.4,144,446,walking,none,none
59:00.6,189,443,walking,none,none
59:00.8,177,437,walking,none,none
59:01.0,162,452,walking,none,none
59:01.3,157,399,walking,none,none
59:01.5,151,401,walking,none,none
59:01.7,153,379,walking,none,none
59:01.9,155,392,walking,none,none
59:02.1,162,382,walking,none,none
59:02.3,161,369,walking,none,none
59:02.5,167,380,walking,none,none
