time,x,y,action,interactions,target_obj
09:23.8,320,104,standing,none,none
09:24.0,241,214,standing,none,none
09:24.2,145,348,walking,none,none
09:24.4,237,200,walking,none,none
09:24.6,201,243,walking,none,none
09:24.8,228,198,walking,none,none
09:25.0,193,241,walking,none,none
09:25.2,226,197,standing,none,none
09:25.4,194,238,walking,none,none
09:25.6,228,194,walking,none,none
09:25.9,201,233,walking,none,none
09:26.1,237,190,walking,none,none
09:26.3,153,323,walking,none,none
09:26.5,216,229,walking,none,none
09:26.7,245,187,walking,none,none
09:26.9,216,228,standing,none,none
09:27.1,244,188,standing,none,none
09:27.3,249,189,standing,none,none
09:27.5,218,227,standing,none,none
09:27.7,244,185,standing,none,none
09:27.9,213,225,standing,none,none
09:28.1,241,186,standing,none,none
09:28.3,236,181,walking,none,none
09:28.6,238,180,walking,none,none
09:28.8,234,176,walking,none,none
09:29.0,207,212,standing,none,none
09:29.2,240,179,standing,none,none
09:29.4,240,179,standing,none,none
09:29.6,234,180,walking,none,none
09:29.8,234,180,walking,none,none
09:30.0,236,179,walking,none,none
09:30.2,207,216,walking,none,none
09:30.4,239,181,walking,none,none
09:30.6,206,215,walking,none,none
09:30.8,235,178,walking,none,none
09:31.1,204,215,walking,none,none
09:31.3,236,181,walking,none,none
09:31.5,197,214,walking,none,none
09:31.7,222,178,walking,none,none
09:31.9,181,211,walking,none,none
09:32.1,213,176,walking,none,none
09:32.3,168,205,walking,none,none
09:32.5,201,171,walking,none,none
09:32.7,152,196,walking,none,none
09:32.9,188,164,walking,none,none
09:33.1,53,247,walking,none,none
09:33.3,185,165,walking,none,none
09:33.5,144,197,walking,none,none
09:33.8,190,171,walking,none,none
09:34.0,150,204,walking,none,none
09:34.2,195,176,walking,none,none
09:34.4,204,175,walking,none,none
09:34.6,170,207,walking,none,none
09:34.8,214,174,walking,none,none
09:35.0,183,208,walking,none,none
09:35.2,116,281,walking,none,none
09:35.4,198,211,walking,none,none
09:35.6,238,177,walking,none,none
09:35.8,244,172,walking,none,none
09:36.0,244,172,walking,none,none
09:36.2,223,217,walking,none,none
09:36.5,221,214,walking,none,none
09:36.7,208,246,walking,none,none
09:36.9,196,244,walking,none,none
09:37.1,196,246,walking,none,none
09:37.3,184,239,walking,none,none
09:37.5,180,233,walking,none,none
09:37.7,174,231,walking,none,none
09:37.9,175,205,walking,none,none
09:38.1,171,204,walking,none,none
09:38.3,120,303,walking,none,none
09:38.5,153,198,walking,none,none
09:38.7,141,212,walking,none,none
09:38.9,138,196,walking,none,none
09:39.2,131,206,walking,none,none
09:39.4,135,207,walking,none,none
09:39.6,128,189,walking,none,none
09:39.8,136,131,walking,none,none
09:40.0,128,98,walking,none,none
09:40.2,123,109,walking,none,none
09:40.4,115,106,walking,none,none
09:40.6,104,122,walking,none,none
09:40.8,96,121,walking,none,none
09:41.0,89,152,walking,none,none
09:41.2,75,174,walking,none,none
09:41.4,81,179,standing,none,none
09:41.6,56,166,standing,none,none
09:41.9,73,172,walking,none,none
09:42.1,67,180,walking,none,none
09:42.3,67,187,walking,none,none
09:42.5,50,178,walking,none,none
09:42.7,34,179,walking,none,none
09:42.9,80,210,walking,none,none
09:43.1,57,206,walking,none,none
09:43.3,99,215,walking,none,none
09:43.5,103,219,walking,none,none
09:43.7,132,216,walking,none,none
09:43.9,102,228,walking,none,none
09:44.1,101,223,walking,none,none
09:44.4,177,262,walking,none,none
09:44.6,128,240,walking,none,none
09:44.8,195,265,walking,none,none
09:45.0,161,238,walking,none,none
09:45.2,220,266,walking,none,none
09:45.4,215,255,walking,none,none
09:45.6,244,264,walking,none,none
09:45.8,226,247,walking,none,none
09:46.0,199,228,walking,none,none
09:46.2,199,222,walking,none,none
09:46.4,177,212,walking,none,none
09:46.6,211,223,walking,none,none
09:46.8,213,226,walking,none,none
09:47.1,133,198,standing,none,none
09:47.3,135,196,standing,none,none
09:47.5,117,200,walking,none,none
09:47.7,70,202,walking,none,none
09:47.9,165,203,walking,none,none
09:48.1,69,202,walking,none,none
09:48.3,162,202,walking,none,none
09:48.5,98,200,walking,none,none
09:48.7,63,196,walking,none,none
09:48.9,128,191,walking,none,none
09:49.1,65,194,walking,none,none
09:49.3,154,188,walking,none,none
09:49.5,63,195,walking,none,none
09:49.8,151,187,walking,none,none
09:50.0,95,196,walking,none,none
