time,x,y,action,interactions,target_obj
41:13.2,231,279,walking,none,none
41:13.4,231,279,walking,none,none
41:13.6,226,277,walking,none,none
41:13.8,220,283,walking,none,none
41:14.0,210,291,walking,none,none
41:14.2,205,288,walking,none,none
41:14.5,189,287,walking,none,none
41:14.7,185,280,walking,none,none
41:14.9,179,280,walking,none,none
41:15.1,167,269,walking,none,none
41:15.3,167,269,walking,none,none
41:15.5,155,270,walking,none,none
41:15.7,153,269,walking,none,none
41:15.9,148,267,walking,none,none
41:16.1,146,266,walking,none,none
41:16.3,155,271,walking,none,none
41:16.5,155,271,walking,none,none
41:16.7,161,272,walking,none,none
41:16.9,178,275,walking,none,none
41:17.2,183,275,walking,none,none
41:17.4,203,267,walking,none,none
41:17.6,210,264,walking,none,none
41:17.8,222,262,walking,none,none
41:18.0,252,254,walking,none,none
41:18.2,261,254,walking,none,none
41:18.4,279,246,walking,none,none
41:18.6,280,239,walking,none,none
41:18.8,281,232,walking,none,none
41:19.0,291,210,walking,none,none
41:19.2,291,210,walking,none,none
41:19.4,312,190,standing,none,none
41:19.6,311,188,walking,none,none
41:19.9,315,186,standing,none,none
41:20.1,317,185,walking,none,none
41:20.3,320,187,standing,none,none
41:20.5,313,207,walking,none,none
41:20.7,311,210,walking,none,none
41:20.9,310,211,walking,none,none
41:21.1,302,219,walking,none,none
41:21.3,295,222,walking,none,none
41:21.5,289,221,walking,none,none
41:21.7,276,223,walking,none,none
41:21.9,276,237,walking,none,none
41:22.1,268,245,walking,none,none
41:22.3,253,264,walking,none,none
41:22.6,242,268,walking,none,none
41:22.8,217,281,walking,none,none
41:23.0,211,283,walking,none,none
41:23.2,207,287,walking,none,none
41:23.4,188,296,walking,none,none
41:23.6,182,301,walking,none,none
41:23.8,162,306,walking,none,none
41:24.0,153,310,walking,none,none
41:24.2,150,303,walking,none,none
41:24.4,139,290,walking,none,none
41:24.6,129,281,walking,none,none
41:24.8,112,266,walking,none,none
41:25.0,102,262,walking,none,none
41:25.3,96,259,walking,none,none
41:25.5,87,223,walking,none,none
41:25.7,87,223,walking,none,none
41:25.9,82,216,walking,none,none
41:26.1,73,206,walking,eating,food
41:26.3,69,202,walking,eating,food
41:26.5,66,201,standing,eating,food
41:26.7,59,197,walking,none,none
41:26.9,57,197,walking,none,none
41:27.1,61,209,standing,none,none
41:27.3,68,217,standing,none,none
41:27.5,73,229,standing,none,none
41:27.8,82,240,standing,none,none
41:28.0,95,247,standing,none,none
41:28.2,103,250,walking,none,none
41:28.4,120,258,walking,none,none
41:28.6,129,267,walking,none,none
41:28.8,137,274,walking,none,none
41:29.0,157,286,walking,none,none
41:29.2,164,287,walking,none,none
41:29.4,178,288,walking,none,none
41:29.6,189,295,walking,none,none
41:29.8,196,299,walking,none,none
41:30.0,215,306,walking,none,none
41:30.2,220,308,walking,none,none
41:30.5,249,304,sitting,none,none
41:30.7,256,297,sitting,none,none
41:30.9,260,293,sitting,none,none
41:31.1,281,282,sitting,none,none
41:31.3,282,276,walking,none,none
41:31.5,290,271,walking,none,none
41:31.7,314,263,walking,none,none
41:31.9,323,258,walking,none,none
41:32.1,329,251,walking,none,none
41:32.3,347,238,walking,none,none
41:32.5,347,238,walking,none,none
41:32.7,368,237,walking,none,none
41:32.9,375,237,walking,none,none
41:33.2,390,236,walking,none,none
41:33.4,386,235,walking,none,none
41:33.6,384,233,walking,none,none
41:33.8,368,231,walking,none,none
41:34.0,364,231,standing,none,none
41:34.2,348,233,walking,none,none
41:34.4,342,227,walking,none,none
41:34.6,340,225,walking,none,none
41:34.8,333,217,walking,none,none
41:35.0,336,217,walking,none,none
41:35.2,330,218,walking,none,none
41:35.4,324,218,walking,none,none
41:35.6,322,219,walking,none,none
41:35.8,318,223,walking,none,none
41:36.1,320,224,standing,none,none
41:36.3,315,227,walking,none,none
41:36.5,319,226,standing,none,none
41:36.7,315,224,walking,none,none
41:36.9,315,223,standing,none,none
41:37.1,315,223,walking,none,none
41:37.3,319,224,standing,none,none
41:37.5,309,226,walking,none,none
41:37.7,306,227,walking,none,none
41:37.9,309,228,walking,none,none
41:38.1,309,228,walking,none,none
41:38.3,306,210,standing,none,none
41:38.6,302,205,walking,none,none
41:38.8,301,200,standing,none,none
41:39.0,294,188,walking,none,none
41:39.2,286,180,walking,none,none
41:39.4,276,171,walking,none,none
41:39.6,268,163,walking,none,none
