time,x,y,action,interactions,target_obj
2023-07-07 14:17:11.402711,15,304,walking,none,none
2023-07-07 14:17:11.607341,55,302,walking,none,none
2023-07-07 14:17:11.811256,63,304,walking,none,none
2023-07-07 14:17:12.015689,88,301,walking,none,none
2023-07-07 14:17:12.220700,112,305,walking,none,none
2023-07-07 14:17:12.427005,146,298,walking,none,none
2023-07-07 14:17:12.634065,169,297,walking,none,none
2023-07-07 14:17:12.841333,178,297,walking,none,none
2023-07-07 14:17:13.045476,229,296,walking,none,none
2023-07-07 14:17:13.249843,257,300,walking,none,none
2023-07-07 14:17:13.454912,280,295,walking,none,none
2023-07-07 14:17:13.659161,300,277,walking,none,none
2023-07-07 14:17:13.863588,309,277,walking,none,none
2023-07-07 14:17:14.068591,341,264,walking,none,none
2023-07-07 14:17:14.273397,352,274,walking,none,none
2023-07-07 14:17:14.478430,372,271,walking,none,none
2023-07-07 14:17:14.685353,416,269,walking,none,none
2023-07-07 14:17:14.891393,422,271,walking,none,none
2023-07-07 14:17:15.098625,432,252,walking,none,none
2023-07-07 14:17:15.304035,447,261,walking,none,none
2023-07-07 14:17:15.508702,448,251,walking,none,none
2023-07-07 14:17:15.712789,427,224,walking,none,none
2023-07-07 14:17:15.917373,431,218,walking,none,none
2023-07-07 14:17:16.121850,426,209,walking,none,none
2023-07-07 14:17:16.327141,420,214,walking,none,none
2023-07-07 14:17:16.532979,389,209,sitting,none,none
2023-07-07 14:17:16.737924,394,203,walking,none,none
2023-07-07 14:17:16.942245,389,209,sitting,none,none
2023-07-07 14:17:17.146308,381,218,sitting,none,none
2023-07-07 14:17:17.351619,375,223,sitting,none,none
2023-07-07 14:17:17.557101,386,216,sitting,none,none
2023-07-07 14:17:17.761205,384,211,sitting,none,none
2023-07-07 14:17:17.965460,404,221,sitting,none,none
2023-07-07 14:17:18.169652,425,231,sitting,none,none
2023-07-07 14:17:18.374278,405,228,sitting,none,none
2023-07-07 14:17:18.579529,391,217,sitting,none,none
2023-07-07 14:17:18.786669,384,225,sitting,none,none
2023-07-07 14:17:18.994443,388,221,sitting,none,none
2023-07-07 14:17:19.199741,382,226,sitting,reading,book
2023-07-07 14:17:19.404833,385,224,sitting,reading,book
2023-07-07 14:17:19.612144,386,224,sitting,reading,book
2023-07-07 14:17:19.816703,379,226,sitting,reading,book
2023-07-07 14:17:20.021733,385,220,sitting,none,none
2023-07-07 14:17:20.227368,398,229,sitting,reading,book
2023-07-07 14:17:20.434372,405,224,sitting,reading,book
2023-07-07 14:17:20.640970,388,215,sitting,reading,book
