time,x,y,action,interactions,target_obj
28:28.5,485,84,sitting,reading,book
28:28.7,414,86,sitting,none,none
28:28.9,414,86,sitting,none,none
28:29.1,460,93,sitting,reading,book
28:29.3,418,86,sitting,none,none
28:29.5,418,86,sitting,none,none
28:29.7,417,86,sitting,none,none
28:29.9,417,86,sitting,none,none
28:30.1,417,86,sitting,none,none
28:30.3,424,83,sitting,none,none
28:30.5,424,83,sitting,none,none
28:30.7,423,83,sitting,none,none
28:30.9,423,83,sitting,none,none
28:31.1,423,83,sitting,reading,book
28:31.4,418,84,sitting,reading,book
28:31.6,418,84,sitting,reading,book
28:31.8,421,83,sitting,none,none
28:32.0,421,83,sitting,none,none
28:32.2,483,85,sitting,reading,book
28:32.4,422,82,sitting,none,none
28:32.6,422,82,sitting,none,none
28:32.8,420,83,sitting,none,none
28:33.0,420,83,sitting,none,none
28:33.2,420,83,sitting,none,none
28:33.4,420,79,sitting,reading,book
28:33.6,420,79,sitting,reading,book
28:33.8,424,69,sitting,reading,book
28:34.0,424,69,sitting,reading,book
28:34.3,424,69,sitting,reading,book
28:34.5,500,56,sitting,none,none
28:34.7,500,56,sitting,none,none
28:34.9,481,53,sitting,none,none
28:35.1,415,57,sitting,none,none
28:35.3,415,57,sitting,none,none
28:35.5,422,73,sitting,none,none
28:35.7,422,73,sitting,none,none
28:35.9,432,70,sitting,none,none
28:36.1,445,61,walking,reading,book
28:36.3,445,61,walking,reading,book
28:36.5,498,60,standing,none,none
28:36.7,449,50,walking,none,none
28:36.9,459,45,walking,none,none
28:37.2,464,42,walking,none,none
28:37.4,464,42,walking,none,none
28:37.6,567,54,walking,none,none
28:37.8,475,58,walking,none,none
28:38.0,482,61,walking,none,none
28:38.2,513,59,walking,none,none
28:38.4,515,65,walking,none,none
28:39.4,570,169,walking,none,none
28:39.6,570,169,walking,none,none
28:39.8,545,179,walking,none,none
28:40.0,558,214,walking,none,none
28:40.2,536,221,walking,none,none
28:40.4,553,258,walking,none,none
28:40.6,533,260,walking,none,none
28:41.1,532,295,walking,none,none
28:41.3,553,315,walking,none,none
28:42.1,565,417,standing,none,none
28:46.8,560,468,sitting,none,none
28:47.2,444,448,sitting,none,none
28:47.4,444,448,sitting,none,none
28:47.7,273,417,sitting,none,none
28:47.9,565,467,sitting,none,none
28:48.1,565,467,sitting,none,none
28:48.3,547,485,sitting,working,computer
28:48.7,548,485,sitting,working,computer
28:48.9,550,486,sitting,none,none
28:49.9,548,486,sitting,none,none
28:50.1,548,486,sitting,none,none
28:50.3,550,486,sitting,working,computer
28:50.7,551,486,sitting,working,computer
28:50.9,567,469,sitting,none,none
28:51.4,564,472,sitting,none,none
28:51.6,564,472,sitting,none,none
28:51.8,564,472,sitting,none,none
28:52.0,317,407,sitting,none,none
28:52.2,317,407,sitting,none,none
28:52.4,317,407,sitting,none,none
28:54.0,566,472,sitting,none,none
28:54.2,566,472,sitting,none,none
28:54.6,566,472,sitting,none,none
28:54.8,566,472,sitting,none,none
28:55.1,566,472,sitting,none,none
28:55.3,566,472,sitting,none,none
28:55.5,566,472,sitting,none,none
28:55.7,566,472,sitting,none,none
28:56.1,565,473,sitting,none,none
28:56.3,565,473,sitting,none,none
28:57.1,300,407,sitting,working,computer
28:57.3,459,445,sitting,working,computer
28:57.5,419,434,sitting,working,computer
28:57.7,471,461,sitting,working,computer
28:58.1,455,447,sitting,none,none
28:58.4,455,447,sitting,none,none
28:58.6,367,457,sitting,working,computer
28:59.0,564,472,sitting,none,none
28:59.4,563,471,sitting,none,none
28:59.6,563,471,sitting,none,none
28:59.8,563,471,sitting,none,none
29:02.0,563,472,sitting,none,none
29:02.2,563,472,sitting,none,none
29:02.5,563,472,sitting,none,none
29:02.9,563,472,sitting,none,none
29:03.1,563,472,sitting,none,none
29:03.5,562,472,sitting,none,none
29:03.7,562,472,sitting,none,none
29:03.9,562,472,sitting,none,none
29:04.3,562,471,sitting,none,none
29:04.5,562,471,sitting,none,none
29:04.9,564,472,sitting,none,none
29:05.1,564,472,sitting,none,none
29:05.5,562,471,sitting,none,none
29:05.7,562,471,sitting,none,none
29:06.0,562,471,sitting,none,none
29:06.2,455,447,sitting,none,none
29:06.4,455,447,sitting,none,none
29:06.6,455,447,sitting,none,none
29:06.8,567,473,sitting,none,none
29:07.0,567,473,sitting,none,none
29:07.2,567,473,sitting,none,none
29:07.6,566,475,sitting,none,none
29:07.8,566,475,sitting,none,none
29:09.9,488,484,walking,none,none
29:10.3,519,471,standing,none,none
29:12.4,274,467,walking,none,none
29:12.6,253,457,walking,none,none
29:12.8,243,465,walking,none,none
29:13.0,199,465,walking,none,none
29:13.2,189,436,walking,none,none
29:13.4,173,428,walking,none,none
29:13.6,154,410,walking,none,none
29:13.8,150,409,walking,none,none
29:14.0,131,382,walking,none,none
29:14.2,127,359,walking,none,none
29:14.4,106,302,walking,none,none
29:14.6,93,308,walking,none,none
29:14.8,78,304,walking,none,none
29:15.0,75,301,walking,none,none
29:15.2,61,267,walking,none,none
29:15.4,60,255,walking,none,none
29:15.7,58,264,walking,none,none
29:15.9,56,258,walking,none,none
29:16.1,51,258,walking,none,none
29:16.3,51,267,standing,none,none
29:16.5,49,258,walking,none,none
29:16.7,48,259,standing,none,none
29:16.9,44,262,walking,none,none
29:17.1,39,264,walking,none,none
29:17.3,37,263,walking,none,none
29:17.5,39,263,walking,none,none
29:17.7,43,276,walking,none,none
29:17.9,45,283,walking,none,none
29:18.1,46,280,walking,none,none
29:18.3,47,307,walking,none,none
29:18.5,38,313,walking,none,none
29:18.8,33,341,walking,none,none
29:19.0,33,346,walking,none,none
29:19.2,28,378,walking,none,none
29:19.4,38,376,sitting,none,none
29:19.6,38,376,sitting,none,none
29:19.8,61,358,sitting,none,none
29:20.0,63,348,sitting,none,none
29:20.2,63,349,sitting,none,none
29:20.4,73,348,sitting,none,none
29:20.6,82,354,sitting,none,none
29:20.8,79,337,sitting,none,none
29:21.0,76,338,standing,none,none
29:21.2,73,350,sitting,none,none
29:21.4,64,345,sitting,none,none
29:21.6,41,395,sitting,none,none
29:21.8,41,395,sitting,none,none
29:22.1,54,389,sitting,none,none
29:22.3,33,374,sitting,none,none
29:22.5,26,334,sitting,none,none
29:22.7,54,349,sitting,none,none
29:22.9,62,338,sitting,none,none
29:23.1,66,335,sitting,none,none
29:23.3,66,333,sitting,none,none
29:23.5,70,326,sitting,none,none
29:23.7,74,326,sitting,none,none
29:23.9,75,326,sitting,none,none
29:24.1,76,332,sitting,none,none
29:24.3,68,321,sitting,none,none
29:24.5,64,319,sitting,none,none
29:24.7,62,322,standing,none,none
29:24.9,63,317,standing,none,none
29:25.1,57,334,sitting,none,none
29:25.4,52,352,sitting,none,none
29:25.6,27,311,sitting,none,none
29:25.8,22,296,sitting,none,none
29:26.0,19,293,walking,none,none
29:26.2,11,293,walking,none,none
29:26.4,0,281,walking,none,none
29:27.6,9,298,walking,none,none
29:27.8,28,303,walking,none,none
29:28.0,32,306,walking,none,none
29:28.2,50,321,walking,none,none
29:28.4,52,326,walking,none,none
29:28.7,62,324,walking,none,none
29:28.9,62,341,walking,none,none
29:29.1,59,351,walking,none,none
29:29.3,46,366,walking,none,none
29:29.5,49,351,walking,none,none
29:29.7,54,368,walking,none,none
29:29.9,65,380,walking,none,none
29:30.1,78,396,walking,none,none
29:30.3,87,403,walking,none,none
29:30.5,86,428,walking,none,none
29:30.7,84,411,walking,none,none
29:30.9,83,402,walking,none,none
29:31.1,71,378,walking,none,none
29:31.3,64,375,walking,none,none
29:31.5,59,376,walking,none,none
29:31.7,64,359,walking,none,none
29:32.0,68,344,walking,none,none
29:32.2,62,337,sitting,none,none
29:32.4,60,325,sitting,none,none
29:32.6,60,333,sitting,none,none
29:32.8,60,332,sitting,none,none
29:33.0,58,347,sitting,none,none
29:33.2,52,383,laying,none,none
29:33.4,46,406,laying,none,none
29:33.6,39,432,laying,none,none
29:33.8,51,441,laying,none,none
29:34.0,64,450,laying,none,none
29:34.2,72,439,laying,none,none
29:34.4,81,429,laying,none,none
29:34.8,91,403,laying,none,none
