time,x,y,action,interactions,target_obj
2023-07-26 15:55:41.424771,83,168,walking,none,none
2023-07-26 15:55:41.635391,81,190,walking,none,none
2023-07-26 15:55:41.841713,75,207,walking,none,none
2023-07-26 15:55:42.047402,64,235,walking,none,none
2023-07-26 15:55:42.253194,44,253,walking,none,none
2023-07-26 15:55:42.461097,30,269,walking,none,none
2023-07-26 15:55:48.844806,8,208,walking,none,none
2023-07-26 15:55:49.049235,20,229,walking,none,none
2023-07-26 15:55:49.253763,20,229,walking,none,none
2023-07-26 15:55:49.459957,68,237,walking,none,none
2023-07-26 15:55:49.668560,87,238,walking,none,none
2023-07-26 15:55:49.878330,127,247,walking,none,none
2023-07-26 15:55:50.084332,132,255,walking,none,none
2023-07-26 15:55:50.291660,196,258,walking,none,none
2023-07-26 15:55:50.496703,206,260,walking,none,none
2023-07-26 15:55:50.702346,238,279,walking,none,none
2023-07-26 15:55:50.909392,287,260,walking,none,none
2023-07-26 15:55:51.119127,304,255,walking,none,none
2023-07-26 15:55:51.325324,324,248,walking,none,none
2023-07-26 15:55:51.531386,380,246,walking,none,none
2023-07-26 15:55:51.737007,383,247,walking,none,none
2023-07-26 15:55:51.942486,431,234,walking,none,none
2023-07-26 15:55:52.147235,467,238,walking,reading,book
2023-07-26 15:55:52.352968,476,237,walking,reading,book
2023-07-26 15:55:52.561325,507,217,walking,reading,book
2023-07-26 15:55:52.769326,492,205,standing,reading,book
2023-07-26 15:55:52.974532,508,215,standing,none,none
2023-07-26 15:55:53.181656,503,201,standing,reading,book
2023-07-26 15:55:53.390298,533,197,standing,reading,book
2023-07-26 15:55:53.595335,521,198,standing,reading,book
2023-07-26 15:55:53.800228,537,189,standing,reading,book
2023-07-26 15:55:54.006323,516,189,standing,none,none
2023-07-26 15:55:54.214715,520,159,standing,none,none
2023-07-26 15:55:54.421479,512,156,sitting,none,none
2023-07-26 15:55:54.626846,489,149,sitting,none,none
2023-07-26 15:55:54.834149,523,167,sitting,none,none
2023-07-26 15:55:55.042173,476,174,sitting,none,none
2023-07-26 15:55:55.246627,482,162,sitting,none,none
2023-07-26 15:55:55.451478,480,192,sitting,reading,book
2023-07-26 15:55:55.659240,478,175,sitting,reading,book
2023-07-26 15:55:55.866571,448,170,sitting,reading,book
2023-07-26 15:55:56.074090,481,172,sitting,reading,book
2023-07-26 15:55:56.279899,485,186,sitting,reading,book
2023-07-26 15:55:56.485674,479,185,sitting,none,none
2023-07-26 15:55:56.691943,477,182,sitting,none,none
2023-07-26 15:55:56.896456,487,192,sitting,none,none
2023-07-26 15:55:57.101353,481,165,sitting,reading,book
2023-07-26 15:55:57.306206,471,185,sitting,none,none
2023-07-26 15:55:57.514576,476,167,sitting,reading,book
2023-07-26 15:55:57.722506,480,182,sitting,reading,book
2023-07-26 15:55:57.931231,474,167,sitting,reading,book
2023-07-26 15:55:58.138054,485,183,sitting,reading,book
2023-07-26 15:55:58.343955,468,174,sitting,reading,book
2023-07-26 15:55:58.550350,483,180,sitting,reading,book
2023-07-26 15:55:58.760283,472,202,sitting,none,none
2023-07-26 15:55:58.970457,491,208,sitting,reading,book
2023-07-26 15:55:59.176847,482,184,sitting,reading,book
2023-07-26 15:55:59.383563,477,168,sitting,reading,book
2023-07-26 15:55:59.589043,480,180,sitting,reading,book
2023-07-26 15:55:59.794584,476,165,sitting,reading,book
2023-07-26 15:55:59.999760,486,182,sitting,reading,book
2023-07-26 15:56:00.205317,481,166,sitting,reading,book
2023-07-26 15:56:00.410738,483,182,sitting,reading,book
2023-07-26 15:56:00.619060,471,185,sitting,none,none
2023-07-26 15:56:00.825871,492,207,sitting,none,none
2023-07-26 15:56:01.033255,462,191,sitting,none,none
2023-07-26 15:56:01.241979,473,189,sitting,reading,book
2023-07-26 15:56:01.447439,462,198,sitting,reading,book
2023-07-26 15:56:01.652926,474,197,sitting,reading,book
2023-07-26 15:56:01.863612,481,192,sitting,reading,book
2023-07-26 15:56:02.071557,475,188,sitting,reading,book
2023-07-26 15:56:02.277474,494,179,sitting,reading,book
2023-07-26 15:56:02.482782,493,172,sitting,none,none
2023-07-26 15:56:02.690415,525,185,sitting,reading,book
2023-07-26 15:56:02.895452,507,179,sitting,none,none
2023-07-26 15:56:03.102329,514,194,standing,reading,book
2023-07-26 15:56:03.312691,557,185,sitting,reading,book
2023-07-26 15:56:03.520490,507,189,standing,none,none
2023-07-26 15:56:03.728819,493,215,standing,reading,book
2023-07-26 15:56:03.934374,477,211,standing,none,none
2023-07-26 15:56:04.139611,477,229,standing,none,none
2023-07-26 15:56:04.345088,458,221,standing,none,none
2023-07-26 15:56:04.549618,437,235,walking,none,none
2023-07-26 15:56:04.755922,407,235,walking,none,none
2023-07-26 15:56:04.963975,407,235,walking,none,none
2023-07-26 15:56:05.172343,394,246,walking,none,none
2023-07-26 15:56:05.379131,375,242,walking,none,none
2023-07-26 15:56:05.584113,343,244,walking,none,none
2023-07-26 15:56:05.789001,321,242,walking,none,none
